customer_id,business_line,region,competition_index,tenure_months,contract_type,payment_method,tech_type,n_products,has_mobile,has_broadband,has_iptv,has_pbx,days_to_contract_end
RT-000026,mobile,Far-East,0.79,57,monthly,card,n/a,3,True,False,True,False,30
RT-000027,mobile,Moscow,0.599,73,annual,auto,n/a,3,True,True,False,False,365
RT-000028,mobile,Saint-Petersburg,0.425,27,monthly,auto,n/a,2,True,True,False,False,30
RT-000029,mobile,Volga,0.214,33,monthly,card,n/a,2,True,False,False,False,30
RT-000030,broadband,Southern,0.34,109,annual,auto,xdsl,2,False,True,False,False,15
RT-000031,broadband,Saint-Petersburg,0.768,31,monthly,auto,fiber,4,True,True,True,False,30
RT-000032,fixed_voice,Urals,0.508,37,monthly,card,fiber,1,False,False,False,False,30
RT-000033,mobile,Moscow,0.291,26,annual,auto,n/a,3,True,True,False,False,315
RT-000034,mobile,Central,0.424,31,annual,auto,n/a,2,True,False,False,False,165
RT-000035,mobile,Volga,0.57,17,monthly,card,n/a,4,True,True,False,True,30
RT-000036,mobile,Moscow,0.573,23,monthly,auto,n/a,2,True,False,False,False,30
RT-000037,mobile,Urals,0.413,48,monthly,auto,n/a,1,True,False,False,False,30
RT-000038,mobile,Southern,0.858,16,annual,auto,n/a,1,True,False,False,False,250
RT-000039,mobile,Southern,0.47,30,annual,invoice,n/a,4,True,True,False,True,195
RT-000040,broadband,Southern,0.478,56,monthly,auto,copper,2,False,True,False,False,30
RT-000041,mobile,Urals,0.781,4,monthly,card,n/a,3,True,False,False,False,30
RT-000042,iptv,Urals,0.105,59,monthly,auto,n/a,3,False,False,True,False,30
RT-000043,broadband,Urals,0.282,16,annual,card,xdsl,4,False,True,False,False,250
RT-000044,mobile,Central,0.619,43,monthly,invoice,n/a,2,True,False,False,False,30
RT-000045,iptv,Urals,0.648,63,two_year,card,n/a,2,False,True,True,False,300
RT-000046,iptv,Saint-Petersburg,0.206,61,monthly,auto,n/a,3,False,True,True,False,30
RT-000047,mobile,Moscow,0.4,20,annual,auto,n/a,1,True,False,False,False,130
RT-000048,mobile,North-Caucasus,0.232,20,annual,invoice,n/a,3,True,True,False,False,130
RT-000049,broadband,Saint-Petersburg,0.895,64,annual,card,xdsl,3,True,True,False,False,270
RT-000050,mobile,Saint-Petersburg,0.17,57,annual,auto,n/a,3,True,True,False,False,115
RT-000051,mobile,North-West,0.571,7,monthly,auto,n/a,2,True,True,False,False,30
RT-000052,mobile,North-Caucasus,0.758,17,monthly,invoice,n/a,2,True,True,False,False,30
RT-000053,broadband,Far-East,0.631,13,annual,card,fiber,4,False,True,False,True,340
RT-000054,broadband,Siberia,0.872,6,annual,invoice,xdsl,4,False,True,True,False,185
RT-000055,broadband,Saint-Petersburg,0.556,51,two_year,card,fiber,1,False,True,False,False,660
RT-000056,broadband,Urals,0.829,62,annual,auto,fiber,1,False,True,False,False,330
RT-000057,mobile,Far-East,0.641,3,monthly,auto,n/a,2,True,True,False,False,30
RT-000058,broadband,North-West,0.711,6,monthly,card,xdsl,2,False,True,False,False,30
RT-000059,mobile,Central,0.569,39,monthly,auto,n/a,2,True,True,False,False,30
RT-000060,mobile,Far-East,0.638,62,monthly,auto,n/a,2,True,False,False,False,30
RT-000061,broadband,Saint-Petersburg,0.446,99,monthly,card,fiber,3,True,True,True,False,30
RT-000062,mobile,North-Caucasus,0.782,22,annual,card,n/a,4,True,True,True,False,70
RT-000063,broadband,Volga,0.383,17,two_year,auto,copper,3,True,True,False,False,220
RT-000064,broadband,Siberia,0.174,22,two_year,auto,fiber,3,True,True,False,False,70
RT-000065,broadband,North-West,0.839,21,monthly,invoice,fiber,4,False,True,False,False,30
RT-000066,broadband,Siberia,0.582,48,monthly,card,xdsl,2,False,True,False,False,30
RT-000067,broadband,North-Caucasus,0.409,19,monthly,card,xdsl,1,False,True,False,False,30
RT-000068,mobile,Volga,0.317,50,annual,invoice,n/a,1,True,False,False,False,325
RT-000069,mobile,Central,0.418,35,monthly,card,n/a,4,True,True,False,True,30
RT-000070,mobile,Moscow,0.634,43,monthly,card,n/a,4,True,True,True,False,30
RT-000071,mobile,North-Caucasus,0.707,30,two_year,invoice,n/a,2,True,True,False,False,560
RT-000072,mobile,North-Caucasus,0.837,19,two_year,invoice,n/a,3,True,False,True,False,160
RT-000073,iptv,Urals,0.301,27,monthly,card,n/a,1,False,False,True,False,30
RT-000074,mobile,Moscow,0.648,8,annual,auto,n/a,1,True,False,False,False,125
RT-000075,mobile,Far-East,0.139,19,monthly,card,n/a,2,True,False,False,False,30
RT-000076,mobile,Volga,0.474,21,two_year,card,n/a,4,True,False,False,True,100
RT-000077,mobile,Central,0.577,52,monthly,card,n/a,1,True,False,False,False,30
RT-000078,broadband,North-West,0.347,23,two_year,auto,fiber,3,True,True,True,False,40
RT-000079,broadband,North-Caucasus,0.996,45,two_year,auto,fiber,4,False,True,True,True,110
RT-000080,broadband,Siberia,0.126,58,annual,auto,fiber,3,True,True,False,False,85
RT-000081,broadband,Southern,0.325,35,annual,card,xdsl,4,False,True,False,False,45
RT-000082,mobile,Siberia,0.599,32,monthly,card,n/a,4,True,False,True,True,30
RT-000083,iptv,Far-East,0.667,18,annual,card,n/a,3,False,True,True,False,190
RT-000084,mobile,Urals,0.121,29,monthly,card,n/a,3,True,False,True,False,30
RT-000085,mobile,North-West,0.498,63,annual,auto,n/a,3,True,False,True,False,300
RT-000086,mobile,Moscow,0.674,15,monthly,card,n/a,2,True,True,False,False,30
RT-000087,broadband,Saint-Petersburg,0.639,41,annual,invoice,copper,4,False,True,True,True,230
RT-000088,mobile,Central,0.378,15,two_year,card,n/a,2,True,False,False,False,280
RT-000089,mobile,Siberia,0.72,51,annual,auto,n/a,4,True,True,False,False,295
RT-000090,mobile,Moscow,0.932,19,monthly,card,n/a,1,True,False,False,False,30
RT-000091,mobile,Saint-Petersburg,0.731,39,monthly,card,n/a,1,True,False,False,False,30
RT-000092,broadband,North-Caucasus,0.4,26,monthly,auto,fiber,2,False,True,False,False,30
RT-000093,mobile,Volga,0.978,13,two_year,card,n/a,2,True,False,False,False,340
RT-000094,mobile,Saint-Petersburg,0.214,35,two_year,card,n/a,2,True,True,False,False,410
RT-000095,mobile,Far-East,0.742,41,monthly,invoice,n/a,2,True,True,False,False,30
RT-000096,broadband,North-Caucasus,0.199,29,monthly,auto,xdsl,2,False,True,False,False,30
RT-000097,mobile,Southern,0.197,14,annual,invoice,n/a,4,True,True,True,False,310
RT-000098,mobile,Saint-Petersburg,0.484,17,monthly,auto,n/a,4,True,False,False,True,30
RT-000099,mobile,Urals,0.396,12,monthly,auto,n/a,4,True,False,False,False,30
RT-000100,fixed_voice,Far-East,0.354,13,annual,auto,fiber,1,False,False,False,False,340
RT-000101,iptv,North-Caucasus,0.697,13,monthly,auto,n/a,1,False,False,True,False,30
RT-000102,broadband,Southern,0.404,45,monthly,auto,fiber,3,False,True,False,False,30
RT-000103,mobile,North-Caucasus,0.762,53,monthly,invoice,n/a,3,True,False,False,False,30
RT-000104,fixed_voice,Far-East,0.669,35,monthly,auto,fiber,2,False,False,False,False,30
RT-000105,broadband,Saint-Petersburg,0.11,10,annual,card,fiber,2,False,True,False,False,65
RT-000106,broadband,Urals,0.274,14,annual,auto,fiber,2,False,True,False,False,310
RT-000107,mobile,Urals,0.546,3,two_year,invoice,n/a,1,True,False,False,False,640
RT-000108,mobile,Siberia,0.763,16,two_year,card,n/a,2,True,True,False,False,250
RT-000109,mobile,Southern,0.654,16,annual,invoice,n/a,4,True,True,False,False,250
RT-000110,iptv,Siberia,0.34,32,monthly,auto,n/a,1,False,False,True,False,30
RT-000111,mobile,Southern,0.45,42,monthly,card,n/a,4,True,True,False,False,30
RT-000112,mobile,Central,0.32,55,annual,auto,n/a,2,True,True,False,False,175
RT-000113,mobile,Volga,0.872,14,monthly,auto,n/a,2,True,False,False,False,30
RT-000114,broadband,North-Caucasus,0.298,21,monthly,invoice,fiber,3,False,True,False,False,30
RT-000115,mobile,Far-East,0.475,22,monthly,invoice,n/a,3,True,True,False,False,30
RT-000116,iptv,Urals,0.375,8,two_year,auto,n/a,1,False,False,True,False,490
RT-000117,broadband,North-West,0.322,34,monthly,card,xdsl,2,False,True,False,False,30
RT-000118,broadband,Central,0.472,9,monthly,auto,copper,1,False,True,False,False,30
RT-000119,mobile,Central,0.42,33,annual,invoice,n/a,4,True,True,True,True,105
RT-000120,broadband,North-West,0.342,91,monthly,auto,xdsl,2,False,True,False,False,30
RT-000121,broadband,North-Caucasus,0.211,51,annual,card,xdsl,4,False,True,False,True,295
RT-000122,broadband,Southern,0.261,48,monthly,invoice,xdsl,4,True,True,True,False,30
RT-000123,mobile,North-West,0.637,33,monthly,card,n/a,4,True,True,False,False,30
RT-000124,mobile,Far-East,0.542,29,monthly,invoice,n/a,4,True,False,True,False,30
RT-000125,mobile,North-West,0.237,30,two_year,invoice,n/a,2,True,False,False,False,560
RT-000126,mobile,Siberia,0.549,19,monthly,auto,n/a,3,True,True,False,False,30
RT-000127,mobile,Urals,0.547,19,monthly,auto,n/a,3,True,True,True,False,30
RT-000128,mobile,North-West,0.319,33,monthly,card,n/a,2,True,True,False,False,30
RT-000129,mobile,North-Caucasus,0.373,6,annual,card,n/a,3,True,False,True,False,185
RT-000130,broadband,Urals,0.264,49,two_year,card,fiber,3,True,True,False,False,720
RT-000131,mobile,North-Caucasus,0.563,32,monthly,invoice,n/a,4,True,True,True,False,30
RT-000132,fixed_voice,Moscow,0.186,7,two_year,card,xdsl,2,False,False,False,False,520
RT-000133,broadband,Central,0.774,22,annual,invoice,xdsl,3,True,True,False,False,70
RT-000134,mobile,North-West,0.246,37,monthly,invoice,n/a,2,True,False,False,False,30
RT-000135,broadband,Urals,0.347,100,monthly,invoice,fiber,2,False,True,False,False,30
RT-000136,mobile,Far-East,0.46,36,annual,auto,n/a,1,True,False,False,False,15
RT-000137,fixed_voice,Saint-Petersburg,0.418,20,monthly,card,fiber,2,False,False,False,False,30
RT-000138,mobile,Saint-Petersburg,0.288,7,monthly,card,n/a,3,True,False,False,False,30
RT-000139,broadband,Urals,0.683,16,annual,card,xdsl,3,False,True,False,False,250
RT-000140,mobile,North-West,0.16,30,monthly,invoice,n/a,2,True,True,False,False,30
RT-000141,mobile,Urals,0.497,82,monthly,auto,n/a,1,True,False,False,False,30
RT-000142,mobile,Moscow,0.438,40,monthly,card,n/a,3,True,False,True,False,30
RT-000143,fixed_voice,Southern,0.477,35,annual,auto,fiber,2,False,False,False,False,45
RT-000144,broadband,Moscow,0.519,30,monthly,auto,fiber,2,False,True,False,False,30
RT-000145,mobile,North-Caucasus,0.172,72,two_year,auto,n/a,1,True,False,False,False,30
RT-000146,mobile,Saint-Petersburg,0.302,23,monthly,auto,n/a,1,True,False,False,False,30
RT-000147,mobile,Saint-Petersburg,0.443,76,two_year,auto,n/a,2,True,False,False,False,640
RT-000148,mobile,Saint-Petersburg,0.466,61,monthly,auto,n/a,3,True,False,True,False,30
RT-000149,mobile,Central,0.79,9,monthly,invoice,n/a,1,True,False,False,False,30
RT-000150,mobile,Volga,0.611,3,annual,invoice,n/a,3,True,False,True,False,275
RT-000151,iptv,Urals,0.462,43,monthly,card,n/a,2,False,False,True,False,30
RT-000152,iptv,North-Caucasus,0.606,60,annual,auto,n/a,1,False,False,True,False,25
RT-000153,mobile,Far-East,0.905,24,two_year,invoice,n/a,3,True,False,True,False,10
RT-000154,broadband,Moscow,0.509,39,monthly,auto,fiber,2,False,True,False,False,30
RT-000155,mobile,Volga,0.252,50,annual,auto,n/a,2,True,True,False,False,325
RT-000156,broadband,Far-East,0.921,13,two_year,auto,fiber,4,True,True,False,True,340
RT-000157,mobile,Saint-Petersburg,0.311,28,two_year,auto,n/a,2,True,True,False,False,620
RT-000158,broadband,Urals,0.057,19,two_year,card,fiber,2,False,True,False,False,160
RT-000159,broadband,Volga,0.738,14,monthly,invoice,fiber,2,False,True,False,False,30
RT-000160,broadband,Saint-Petersburg,0.536,53,monthly,card,xdsl,2,False,True,False,False,30
RT-000161,mobile,Moscow,0.679,42,monthly,invoice,n/a,2,True,True,False,False,30
RT-000162,iptv,Central,0.362,24,two_year,auto,n/a,2,False,False,True,False,10
RT-000163,mobile,Moscow,0.331,34,monthly,card,n/a,4,True,True,False,False,30
RT-000164,mobile,Saint-Petersburg,0.444,31,monthly,auto,n/a,1,True,False,False,False,30
RT-000165,broadband,Southern,0.501,37,annual,invoice,fiber,4,False,True,False,False,350
RT-000166,mobile,Siberia,0.481,26,two_year,auto,n/a,3,True,True,False,False,680
RT-000167,iptv,Southern,0.265,21,two_year,auto,n/a,1,False,False,True,False,100
RT-000168,iptv,Siberia,0.929,32,monthly,auto,n/a,2,False,True,True,False,30
RT-000169,mobile,Moscow,0.203,17,monthly,card,n/a,2,True,True,False,False,30
RT-000170,fixed_voice,North-West,0.509,45,monthly,auto,xdsl,2,False,True,False,False,30
RT-000171,mobile,Urals,0.486,33,two_year,card,n/a,4,True,False,False,False,470
RT-000172,mobile,Moscow,0.303,15,monthly,card,n/a,3,True,False,False,False,30
RT-000173,mobile,Southern,0.285,86,monthly,auto,n/a,1,True,False,False,False,30
RT-000174,fixed_voice,Saint-Petersburg,0.293,47,monthly,auto,fiber,1,False,False,False,False,30
RT-000175,mobile,Volga,0.593,5,monthly,auto,n/a,1,True,False,False,False,30
RT-000176,mobile,Urals,0.256,2,annual,auto,n/a,2,True,True,False,False,305
RT-000177,mobile,North-Caucasus,0.203,20,annual,auto,n/a,2,True,False,False,False,130
RT-000178,fixed_voice,Moscow,0.532,4,two_year,invoice,fiber,2,False,False,False,False,610
RT-000179,iptv,Southern,0.818,23,monthly,card,n/a,3,True,False,True,False,30
RT-000180,broadband,Southern,0.161,15,annual,auto,xdsl,4,True,True,True,False,280
RT-000181,iptv,Moscow,0.643,82,monthly,auto,n/a,2,False,False,True,False,30
RT-000182,iptv,Urals,0.586,19,monthly,card,n/a,2,False,False,True,False,30
RT-000183,mobile,Moscow,0.468,30,monthly,card,n/a,2,True,True,False,False,30
RT-000184,mobile,Urals,0.655,66,annual,card,n/a,2,True,False,False,False,210
RT-000185,broadband,Central,0.613,46,monthly,auto,fiber,2,False,True,False,False,30
RT-000186,broadband,Saint-Petersburg,0.303,7,annual,card,xdsl,1,False,True,False,False,155
RT-000187,mobile,Moscow,0.319,12,monthly,auto,n/a,4,True,False,False,True,30
RT-000188,mobile,Volga,0.759,13,monthly,auto,n/a,2,True,False,False,False,30
RT-000189,broadband,Central,0.39,85,monthly,invoice,xdsl,4,True,True,False,False,30
RT-000190,mobile,Volga,0.42,12,annual,card,n/a,2,True,False,False,False,5
RT-000191,fixed_voice,Far-East,0.767,14,monthly,invoice,fiber,1,False,False,False,False,30
RT-000192,mobile,Far-East,0.888,50,annual,auto,n/a,3,True,True,False,False,325
RT-000193,mobile,Siberia,0.109,10,monthly,card,n/a,2,True,True,False,False,30
RT-000194,iptv,Volga,0.138,42,monthly,card,n/a,1,False,False,True,False,30
RT-000195,mobile,Saint-Petersburg,0.598,29,monthly,card,n/a,1,True,False,False,False,30
RT-000196,mobile,Volga,0.616,14,monthly,auto,n/a,4,True,True,True,False,30
RT-000197,broadband,Moscow,0.844,61,monthly,card,fiber,2,False,True,False,False,30
RT-000198,iptv,Saint-Petersburg,0.524,48,annual,invoice,n/a,1,False,False,True,False,20
RT-000199,mobile,North-West,0.59,30,monthly,auto,n/a,3,True,True,False,False,30
RT-000200,mobile,Urals,0.155,18,monthly,card,n/a,4,True,False,False,False,30
RT-000201,broadband,Siberia,0.283,36,monthly,card,xdsl,3,False,True,True,False,30
RT-000202,fixed_voice,Urals,0.807,36,monthly,auto,fiber,3,False,True,False,False,30
RT-000203,mobile,Central,0.414,7,monthly,auto,n/a,1,True,False,False,False,30
RT-000204,mobile,Siberia,0.437,26,annual,card,n/a,1,True,False,False,False,315
RT-000205,mobile,North-Caucasus,0.757,75,monthly,auto,n/a,4,True,True,False,False,30
RT-000206,mobile,Urals,0.711,23,monthly,invoice,n/a,2,True,False,False,False,30
RT-000207,mobile,Siberia,0.438,46,monthly,invoice,n/a,1,True,False,False,False,30
RT-000208,broadband,Far-East,0.395,35,monthly,invoice,xdsl,3,True,True,False,False,30
RT-000209,mobile,Siberia,0.65,55,two_year,card,n/a,4,True,False,True,True,540
RT-000210,mobile,Far-East,0.632,25,annual,invoice,n/a,1,True,False,False,False,345
RT-000211,broadband,Central,0.389,11,annual,invoice,xdsl,4,False,True,False,True,35
RT-000212,broadband,North-West,0.69,34,monthly,invoice,xdsl,1,False,True,False,False,30
RT-000213,mobile,Saint-Petersburg,0.317,16,monthly,auto,n/a,4,True,False,False,False,30
RT-000214,iptv,Saint-Petersburg,0.606,19,monthly,card,n/a,2,False,True,True,False,30
RT-000215,broadband,Southern,0.413,14,two_year,auto,fiber,4,True,True,False,False,310
RT-000216,broadband,North-Caucasus,0.194,6,monthly,card,xdsl,4,True,True,True,False,30
RT-000217,mobile,Central,0.761,17,monthly,auto,n/a,1,True,False,False,False,30
RT-000218,mobile,Siberia,0.42,53,annual,card,n/a,4,True,True,True,False,235
RT-000219,fixed_voice,Moscow,0.809,69,monthly,auto,xdsl,3,True,False,True,False,30
RT-000220,mobile,North-Caucasus,0.103,35,monthly,invoice,n/a,3,True,True,False,False,30
RT-000221,mobile,Southern,0.49,22,monthly,auto,n/a,4,True,True,False,True,30
RT-000222,mobile,Volga,0.59,15,monthly,auto,n/a,2,True,True,False,False,30
RT-000223,broadband,North-West,0.485,28,monthly,auto,copper,1,False,True,False,False,30
RT-000224,fixed_voice,North-Caucasus,0.592,22,monthly,auto,fiber,4,False,False,False,True,30
RT-000225,mobile,Volga,0.505,65,two_year,auto,n/a,1,True,False,False,False,240
RT-000226,fixed_voice,Saint-Petersburg,0.313,22,monthly,auto,fiber,1,False,False,False,False,30
RT-000227,mobile,Southern,0.5,11,annual,invoice,n/a,4,True,False,False,False,35
RT-000228,broadband,Southern,0.66,41,annual,auto,fiber,2,False,True,False,False,230
RT-000229,broadband,Siberia,0.795,15,monthly,auto,fiber,2,False,True,False,False,30
RT-000230,mobile,Volga,0.645,22,annual,card,n/a,2,True,True,False,False,70
RT-000231,mobile,Central,0.352,14,monthly,auto,n/a,4,True,False,False,False,30
RT-000232,mobile,Moscow,0.59,54,two_year,auto,n/a,2,True,True,False,False,570
RT-000233,fixed_voice,North-Caucasus,0.834,43,annual,invoice,fiber,1,False,False,False,False,170
RT-000234,broadband,Saint-Petersburg,0.35,2,monthly,card,fiber,4,True,True,False,False,30
RT-000235,fixed_voice,North-West,0.676,92,monthly,auto,fiber,2,False,False,False,False,30
RT-000236,iptv,Saint-Petersburg,0.418,25,annual,auto,n/a,1,False,False,True,False,345
RT-000237,mobile,Central,0.467,6,monthly,card,n/a,3,True,True,False,False,30
RT-000238,broadband,Moscow,0.56,19,monthly,invoice,xdsl,4,True,True,True,False,30
RT-000239,mobile,North-West,0.285,58,two_year,auto,n/a,4,True,True,False,False,450
RT-000240,mobile,North-Caucasus,0.965,16,monthly,invoice,n/a,2,True,True,False,False,30
RT-000241,iptv,Central,0.66,78,monthly,invoice,n/a,1,False,False,True,False,30
RT-000242,broadband,North-Caucasus,0.557,11,two_year,card,fiber,4,True,True,False,False,400
RT-000243,mobile,Urals,0.472,50,monthly,card,n/a,3,True,False,False,False,30
RT-000244,mobile,Far-East,0.758,12,two_year,auto,n/a,4,True,True,False,False,370
RT-000245,broadband,Urals,0.416,22,two_year,auto,fiber,3,False,True,True,False,70
RT-000246,iptv,North-Caucasus,0.517,8,annual,invoice,n/a,3,False,False,True,False,125
RT-000247,broadband,Southern,0.43,14,annual,card,xdsl,2,False,True,False,False,310
RT-000248,mobile,Far-East,0.151,21,monthly,card,n/a,2,True,True,False,False,30
RT-000249,mobile,Moscow,0.534,38,monthly,auto,n/a,3,True,False,False,False,30
RT-000250,mobile,North-Caucasus,0.545,32,monthly,card,n/a,1,True,False,False,False,30
RT-000251,broadband,Moscow,0.61,39,monthly,card,xdsl,2,False,True,False,False,30
RT-000252,iptv,Saint-Petersburg,0.441,14,monthly,card,n/a,2,False,False,True,False,30
RT-000253,mobile,Siberia,0.112,52,monthly,invoice,n/a,1,True,False,False,False,30
RT-000254,mobile,Central,0.254,55,monthly,auto,n/a,2,True,False,False,False,30
RT-000255,mobile,Moscow,0.599,15,monthly,card,n/a,3,True,False,False,False,30
RT-000256,broadband,Far-East,0.443,15,monthly,card,xdsl,2,False,True,False,False,30
RT-000257,iptv,Southern,0.568,37,annual,auto,n/a,4,True,False,True,False,350
RT-000258,mobile,Volga,0.725,18,annual,auto,n/a,1,True,False,False,False,190
RT-000259,mobile,North-West,0.658,9,monthly,auto,n/a,3,True,False,False,False,30
RT-000260,broadband,Siberia,0.168,9,annual,card,fiber,3,False,True,False,False,95
RT-000261,mobile,North-West,0.881,4,annual,auto,n/a,4,True,False,False,False,245
RT-000262,iptv,Southern,0.397,21,two_year,card,n/a,2,False,True,True,False,100
RT-000263,mobile,Saint-Petersburg,0.944,23,annual,auto,n/a,4,True,True,False,True,40
RT-000264,mobile,North-West,0.242,102,monthly,invoice,n/a,2,True,False,False,False,30
RT-000265,fixed_voice,Moscow,0.418,24,monthly,auto,fiber,2,False,True,False,False,30
RT-000266,mobile,Central,0.579,18,monthly,invoice,n/a,1,True,False,False,False,30
RT-000267,mobile,North-West,0.495,23,monthly,auto,n/a,3,True,False,False,False,30
RT-000268,mobile,Siberia,0.679,17,monthly,auto,n/a,3,True,False,False,False,30
RT-000269,mobile,Far-East,0.842,18,monthly,invoice,n/a,4,True,True,False,False,30
RT-000270,mobile,Southern,0.745,32,monthly,auto,n/a,3,True,True,False,False,30
RT-000271,mobile,North-Caucasus,0.151,36,monthly,card,n/a,2,True,False,False,False,30
RT-000272,mobile,North-West,0.069,8,monthly,card,n/a,2,True,True,False,False,30
RT-000273,mobile,Volga,0.205,32,monthly,auto,n/a,3,True,True,False,False,30
RT-000274,broadband,Urals,0.644,64,annual,card,fiber,3,False,True,False,False,270
RT-000275,broadband,Saint-Petersburg,0.627,9,monthly,auto,fiber,1,False,True,False,False,30
RT-000276,mobile,Volga,0.233,18,monthly,card,n/a,4,True,False,False,True,30
RT-000277,mobile,Far-East,0.175,14,monthly,auto,n/a,2,True,True,False,False,30
RT-000278,mobile,Volga,0.615,54,two_year,auto,n/a,2,True,False,False,False,570
RT-000279,iptv,North-Caucasus,0.348,13,monthly,invoice,n/a,3,True,True,True,False,30
RT-000280,iptv,Urals,0.496,21,monthly,auto,n/a,1,False,False,True,False,30
RT-000281,mobile,Saint-Petersburg,0.575,16,monthly,invoice,n/a,1,True,False,False,False,30
RT-000282,mobile,Volga,0.832,35,annual,auto,n/a,2,True,True,False,False,45
RT-000283,mobile,North-West,0.101,25,monthly,auto,n/a,3,True,True,False,False,30
RT-000284,mobile,North-Caucasus,0.164,44,monthly,auto,n/a,4,True,True,True,False,30
RT-000285,broadband,North-West,0.638,31,annual,auto,xdsl,2,False,True,False,False,165
RT-000286,mobile,Volga,0.058,53,monthly,auto,n/a,2,True,False,False,False,30
RT-000287,mobile,Urals,0.517,47,annual,invoice,n/a,1,True,False,False,False,50
RT-000288,mobile,North-Caucasus,0.616,30,annual,invoice,n/a,4,True,False,False,False,195
RT-000289,mobile,Southern,0.855,38,monthly,card,n/a,2,True,True,False,False,30
RT-000290,mobile,Far-East,0.268,21,two_year,card,n/a,2,True,True,False,False,100
RT-000291,iptv,Saint-Petersburg,0.754,29,annual,auto,n/a,3,True,False,True,False,225
RT-000292,mobile,Far-East,0.616,41,monthly,auto,n/a,3,True,False,True,False,30
RT-000293,fixed_voice,Central,0.331,42,two_year,invoice,xdsl,3,True,True,False,False,200
RT-000294,mobile,Siberia,0.464,47,monthly,auto,n/a,3,True,False,False,False,30
RT-000295,iptv,Southern,0.899,16,monthly,card,n/a,2,False,True,True,False,30
RT-000296,iptv,Urals,0.555,4,annual,invoice,n/a,2,False,True,True,False,245
RT-000297,fixed_voice,Moscow,0.555,26,annual,auto,fiber,2,False,True,False,False,315
RT-000298,iptv,Southern,0.624,13,monthly,card,n/a,1,False,False,True,False,30
RT-000299,broadband,Moscow,0.33,23,annual,auto,fiber,3,False,True,False,False,40
RT-000300,broadband,Southern,0.477,67,monthly,auto,copper,1,False,True,False,False,30
RT-000301,broadband,Volga,0.517,77,monthly,card,xdsl,4,True,True,True,True,30
RT-000302,mobile,Central,0.358,12,annual,invoice,n/a,2,True,True,False,False,5
RT-000303,mobile,Volga,0.276,73,monthly,auto,n/a,2,True,False,False,False,30
RT-000304,mobile,Central,0.474,8,annual,card,n/a,2,True,True,False,False,125
RT-000305,iptv,Moscow,0.417,33,monthly,auto,n/a,2,False,False,True,False,30
RT-000306,mobile,Moscow,0.586,23,two_year,invoice,n/a,1,True,False,False,False,40
RT-000307,mobile,North-West,0.606,13,monthly,auto,n/a,4,True,True,False,False,30
RT-000308,broadband,Siberia,0.517,27,monthly,invoice,fiber,4,True,True,True,False,30
RT-000309,mobile,Southern,0.619,11,monthly,auto,n/a,4,True,False,True,False,30
RT-000310,mobile,Saint-Petersburg,0.56,11,annual,card,n/a,1,True,False,False,False,35
RT-000311,mobile,Volga,0.381,19,annual,card,n/a,4,True,True,False,False,160
RT-000312,mobile,Southern,0.262,71,monthly,auto,n/a,4,True,False,False,False,30
