customer_id,business_line,region,competition_index,tenure_months,contract_type,payment_method,tech_type,n_products,has_mobile,has_broadband,has_iptv,has_pbx,days_to_contract_end,churn_flag,churn_month,usage_mean_6m,usage_last3m,usage_prior3m,tickets_6m,unresolved_6m,tickets_12m,bill_mean_6m,bill_std_6m,bill_last,bill_first,late_payments_6m,outage_mean_6m,promo_months,usage_decline_3m,bill_increase_pct
RT-000011,mobile,Southern,0.379,34,monthly,auto,n/a,3,True,True,True,False,30,0,,76.68444444444444,89.92,87.42666666666666,0,0,1,620.9044444444445,140.44072742713,557.82,807.19,0,1.9925000000000002,2,0.0,-0.30893593825493376
RT-000012,fixed_voice,Volga,0.318,23,monthly,invoice,fiber,1,False,False,False,False,30,0,,39.07333333333334,31.613333333333333,45.943333333333335,1,0,4,210.3022222222222,39.35376707516749,237.91,266.67,1,2.324444444444444,3,0.31190597112384827,-0.10784865189185142
RT-000013,broadband,North-Caucasus,0.373,25,annual,auto,fiber,2,False,True,False,False,345,0,,56.38722222222222,42.236666666666665,43.919999999999995,2,0,2,393.1644444444444,77.38920309420145,285.98,422.92,0,1.345,3,0.038327261687917356,-0.3237964626879788
RT-000014,iptv,Saint-Petersburg,0.502,30,annual,card,n/a,2,False,False,True,False,195,0,,47.812777777777775,68.88333333333334,66.53333333333333,1,0,2,283.27777777777777,55.90482464242826,273.69,310.48,0,2.8133333333333335,2,0.0,-0.11849394485957233
RT-000015,mobile,Central,0.532,34,monthly,auto,n/a,4,True,False,False,False,30,0,,33.87777777777777,32.47333333333333,31.16,1,0,3,341.6405555555555,65.4862920970059,255.11,438.82,0,1.7655555555555555,1,0.0,-0.4186454582744633
RT-000016,mobile,Urals,0.347,19,two_year,card,n/a,2,True,True,False,False,160,0,,33.617777777777775,27.94666666666667,33.74333333333333,2,0,4,402.27944444444444,112.31064081755422,554.81,418.55,0,1.374375,2,0.171787019658204,0.32555250268785074
RT-000017,broadband,Urals,0.578,34,monthly,auto,copper,2,False,True,False,False,30,0,,40.02222222222222,38.38666666666667,57.39333333333334,0,0,3,317.9511111111111,69.23496726951242,349.84,378.15,0,2.6747058823529413,3,0.33116505982111744,-0.07486447177046147
RT-000018,mobile,North-West,0.095,12,annual,card,n/a,2,True,True,False,False,5,0,,23.896666666666665,21.03,23.64,2,0,4,282.83000000000004,51.70295747599653,270.16,306.16,1,2.135,1,0.11040609137055835,-0.11758557616932322
RT-000019,iptv,North-Caucasus,0.427,16,annual,auto,n/a,2,False,True,True,False,250,0,,45.93277777777777,40.65,45.79333333333333,0,0,1,315.5211111111111,69.4189540898457,229.65,263.34,2,1.8982352941176472,0,0.11231620323191144,-0.1279334700387331
RT-000020,broadband,Far-East,0.647,16,monthly,auto,fiber,4,False,True,False,False,30,0,,62.32111111111111,32.82666666666667,42.89333333333334,1,0,3,448.2505555555556,126.00611668030118,403.08,235.68,2,1.67625,3,0.23469070562636002,0.7102851323828919
RT-000021,broadband,Urals,0.385,11,monthly,card,xdsl,3,False,True,False,False,30,1,24.0,78.94222222222223,45.13666666666666,130.01666666666668,2,0,3,541.3777777777777,119.35034121322158,511.4,409.72,0,1.8907142857142856,0,0.6528393795667223,0.24816948159718819
RT-000022,mobile,Siberia,0.688,25,two_year,card,n/a,1,True,False,False,False,710,0,,36.702777777777776,33.89666666666667,25.633333333333336,2,0,3,434.00666666666666,100.61465885481392,445.02,688.74,3,2.1035294117647063,1,0.0,-0.3538635769666348
RT-000023,fixed_voice,Southern,0.835,48,monthly,auto,fiber,3,True,True,False,False,30,0,,36.638888888888886,22.736666666666668,43.49333333333334,1,0,3,209.5727777777778,41.1230632021033,246.31,119.63,0,1.190625,5,0.47723789086450036,1.0
RT-000024,iptv,Volga,0.894,52,annual,auto,n/a,2,False,True,True,False,265,0,,51.07277777777777,44.07,43.76333333333334,2,0,3,392.00722222222225,42.72802094858836,396.78,396.13,2,0.6475,3,0.0,0.0016408754701738755
RT-000025,broadband,Southern,0.421,10,two_year,auto,fiber,3,True,True,True,False,430,0,,49.80277777777778,36.46,48.02,3,1,4,432.18833333333333,78.54572443150926,481.61,439.09,2,1.9423529411764708,0,0.2407330279050396,0.09683663941333222
RT-000026,mobile,Far-East,0.79,57,monthly,card,n/a,3,True,False,True,False,30,0,,59.56222222222222,63.343333333333334,61.81333333333333,2,0,3,559.4222222222222,119.29369814998886,613.41,448.71,0,3.4675000000000002,3,0.0,0.36705221635354685
RT-000027,mobile,Moscow,0.599,73,annual,auto,n/a,3,True,True,False,False,365,0,,46.013888888888886,40.68333333333333,22.209999999999997,2,0,3,454.32166666666666,83.254302008612,542.8,329.2,1,3.625,5,0.0,0.6488456865127581
RT-000028,mobile,Saint-Petersburg,0.425,27,monthly,auto,n/a,2,True,True,False,False,30,1,23.0,62.602777777777774,99.02666666666669,39.64333333333334,2,0,4,599.5922222222222,130.6902355394598,514.53,491.18,2,1.6264705882352941,3,0.0,0.04753858056109769
RT-000029,mobile,Volga,0.214,33,monthly,card,n/a,2,True,False,False,False,30,0,,43.60277777777778,45.06333333333333,37.92666666666667,1,0,5,594.8844444444444,111.02014911040578,569.88,656.15,0,1.653125,2,0.0,-0.13147908252686122
RT-000030,broadband,Southern,0.34,109,annual,auto,xdsl,2,False,True,False,False,15,0,,36.63,28.183333333333334,36.483333333333334,2,1,3,386.5383333333333,99.15044067120485,309.21,381.42,0,2.1125,1,0.2275011420740064,-0.18931886109800228
RT-000031,broadband,Saint-Petersburg,0.768,31,monthly,auto,fiber,4,True,True,True,False,30,0,,38.26555555555555,28.330000000000002,36.13,2,0,8,411.69944444444445,94.86568712548731,332.48,390.53,0,1.7577777777777779,1,0.21588707445336286,-0.14864415025734248
RT-000032,fixed_voice,Urals,0.508,37,monthly,card,fiber,1,False,False,False,False,30,0,,26.44666666666667,11.549999999999999,21.74,0,0,2,160.94222222222223,34.739063883143494,163.85,141.43,1,1.2176470588235293,0,0.468721251149954,0.15852365127624965
RT-000033,mobile,Moscow,0.291,26,annual,auto,n/a,3,True,True,False,False,315,0,,55.05888888888889,40.53666666666666,50.10666666666666,0,0,1,541.6716666666666,112.79035822632859,586.35,652.79,1,1.2341176470588235,3,0.19099254922831296,-0.10177851989154237
RT-000034,mobile,Central,0.424,31,annual,auto,n/a,2,True,False,False,False,165,0,,44.193333333333335,46.68333333333334,53.38666666666666,0,0,1,587.0933333333334,102.96959254185329,522.52,460.74,1,1.5366666666666666,4,0.12556193806193794,0.13408864001389065
RT-000035,mobile,Volga,0.57,17,monthly,card,n/a,4,True,True,False,True,30,0,,42.47777777777778,33.57333333333333,59.1,0,0,0,430.615,100.61097094019821,359.39,575.1,0,1.5852941176470587,3,0.43192329385222794,-0.37508259433142066
RT-000036,mobile,Moscow,0.573,23,monthly,auto,n/a,2,True,False,False,False,30,1,24.0,40.36833333333333,33.19,32.93666666666667,3,0,9,440.30055555555555,87.45403474849432,474.64,489.74,0,1.540625,3,0.0,-0.030832686731735254
RT-000037,mobile,Urals,0.413,48,monthly,auto,n/a,1,True,False,False,False,30,1,20.0,54.09777777777778,40.29,59.080000000000005,3,0,5,473.8566666666667,107.94972037671873,578.71,457.18,0,1.4361111111111111,0,0.3180433310765065,0.2658252766962685
RT-000038,mobile,Southern,0.858,16,annual,auto,n/a,1,True,False,False,False,250,0,,56.84777777777778,61.876666666666665,53.93,1,0,4,632.4633333333334,111.38103814753896,680.89,682.0,2,1.531764705882353,0,0.0,-0.0016275659824047121
RT-000039,mobile,Southern,0.47,30,annual,invoice,n/a,4,True,True,False,True,195,0,,40.75888888888889,35.78,51.56666666666666,0,0,4,433.0466666666667,104.20177445705998,360.26,384.35,0,3.2093333333333334,2,0.3061409179056237,-0.06267724730063752
RT-000040,broadband,Southern,0.478,56,monthly,auto,copper,2,False,True,False,False,30,0,,32.824444444444445,29.536666666666665,50.72666666666667,1,1,5,294.21722222222223,94.68090495141193,285.66,134.05,0,1.7613333333333334,4,0.4177290051255093,1.0
RT-000041,mobile,Urals,0.781,4,monthly,card,n/a,3,True,False,False,False,30,0,,50.50888888888889,34.12666666666667,68.38,2,0,5,410.5105555555555,101.42256544786348,400.53,380.84,0,1.59125,3,0.5009261967436871,0.05170150194307321
RT-000042,iptv,Urals,0.105,59,monthly,auto,n/a,3,False,False,True,False,30,0,,44.961666666666666,36.846666666666664,33.65,1,0,5,328.9133333333333,47.839540869329355,334.61,314.84,0,1.017777777777778,1,0.0,0.06279380002540987
RT-000043,broadband,Urals,0.282,16,annual,card,xdsl,4,False,True,False,False,250,0,,35.71,20.746666666666666,28.83666666666667,4,0,7,351.47444444444443,93.62679161701918,318.28,335.18,1,1.613125,1,0.28054560166454756,-0.05042066949101985
RT-000044,mobile,Central,0.619,43,monthly,invoice,n/a,2,True,False,False,False,30,0,,60.50277777777777,40.07666666666666,76.52,1,0,4,445.4766666666667,107.7712232135331,411.62,340.52,0,1.2129411764705882,2,0.4762589301271999,0.2087983084693998
RT-000045,iptv,Urals,0.648,63,two_year,card,n/a,2,False,True,True,False,300,0,,34.965555555555554,33.53,33.88999999999999,1,0,2,321.9777777777778,59.204198535095514,205.86,379.26,1,1.408235294117647,4,0.010622602537621493,-0.45720613826926115
RT-000046,iptv,Saint-Petersburg,0.206,61,monthly,auto,n/a,3,False,True,True,False,30,0,,57.81944444444444,28.28,47.24333333333333,0,0,6,312.0488888888889,83.10878044423526,418.09,354.19,0,1.856923076923077,2,0.4013970225075848,0.18041164346819497
RT-000047,mobile,Moscow,0.4,20,annual,auto,n/a,1,True,False,False,False,130,0,,52.041111111111114,73.82000000000001,35.553333333333335,3,0,7,469.72999999999996,90.13932137987022,475.31,629.47,0,2.1279999999999997,2,0.0,-0.2449044434206555
RT-000048,mobile,North-Caucasus,0.232,20,annual,invoice,n/a,3,True,True,False,False,130,0,,45.35277777777778,45.883333333333326,52.27,0,0,2,414.475,107.62936633214389,361.3,441.77,0,1.36,1,0.12218608507110536,-0.18215360934422883
RT-000049,broadband,Saint-Petersburg,0.895,64,annual,card,xdsl,3,True,True,False,False,270,1,22.0,54.17111111111111,72.99,35.276666666666664,2,1,6,455.37833333333333,114.01610547998703,470.99,577.57,1,1.7947058823529414,0,0.0,-0.18453174506986172
RT-000050,mobile,Saint-Petersburg,0.17,57,annual,auto,n/a,3,True,True,False,False,115,0,,35.99,28.61,47.35999999999999,1,0,3,359.3122222222222,79.29256893863946,443.77,345.88,0,1.7186666666666668,4,0.3959037162162161,0.28301723140973745
RT-000051,mobile,North-West,0.571,7,monthly,auto,n/a,2,True,True,False,False,30,0,,54.74777777777778,65.07666666666667,48.333333333333336,2,0,3,379.7522222222222,109.83899235622141,320.4,425.13,0,2.066470588235294,3,0.0,-0.24634817585209234
RT-000052,mobile,North-Caucasus,0.758,17,monthly,invoice,n/a,2,True,True,False,False,30,0,,56.47777777777778,66.58666666666666,43.846666666666664,0,0,4,551.7016666666666,107.27639838286889,522.36,495.4,1,2.2233333333333336,2,0.0,0.054420670165522884
RT-000053,broadband,Far-East,0.631,13,annual,card,fiber,4,False,True,False,True,340,0,,47.891666666666666,44.10999999999999,61.71,1,0,2,457.0544444444444,79.05435332152788,328.62,446.25,0,0.929375,2,0.28520499108734415,-0.2635966386554622
RT-000054,broadband,Siberia,0.872,6,annual,invoice,xdsl,4,False,True,True,False,185,0,,55.47388888888889,63.876666666666665,49.43,2,1,5,489.0105555555556,83.06566944803173,440.73,425.46,0,1.694705882352941,0,0.0,0.035890565505570536
RT-000055,broadband,Saint-Petersburg,0.556,51,two_year,card,fiber,1,False,True,False,False,660,0,,64.80111111111111,51.45333333333334,72.90666666666667,2,0,2,512.0772222222222,107.2866811428781,458.81,488.28,1,1.418235294117647,1,0.2942574981711777,-0.060354714508069084
RT-000056,broadband,Urals,0.829,62,annual,auto,fiber,1,False,True,False,False,330,0,,50.037777777777784,46.49666666666667,61.720000000000006,1,0,4,480.9166666666667,93.00008260590896,578.35,250.98,2,1.4188235294117648,4,0.246651544610067,1.0
RT-000057,mobile,Far-East,0.641,3,monthly,auto,n/a,2,True,True,False,False,30,0,,53.75555555555556,57.04666666666666,62.120000000000005,2,0,3,496.9333333333333,118.72895900277383,443.87,757.08,0,2.814117647058824,4,0.08166988624168295,-0.4137079304696994
RT-000058,broadband,North-West,0.711,6,monthly,card,xdsl,2,False,True,False,False,30,1,24.0,67.55111111111111,48.34,49.330000000000005,0,0,1,479.94888888888886,94.90631255822079,594.37,524.59,0,1.4007142857142856,2,0.02006892357591733,0.133018166568177
RT-000059,mobile,Central,0.569,39,monthly,auto,n/a,2,True,True,False,False,30,0,,37.51222222222222,52.196666666666665,27.093333333333334,2,0,3,455.5716666666667,101.96871436290414,594.65,448.89,0,1.11875,2,0.0,0.32471206754438725
RT-000060,mobile,Far-East,0.638,62,monthly,auto,n/a,2,True,False,False,False,30,0,,38.78055555555555,41.336666666666666,29.900000000000002,1,0,2,435.73055555555555,78.49544628772102,431.56,568.82,0,1.993529411764706,3,0.0,-0.24130656446679097
RT-000061,broadband,Saint-Petersburg,0.446,99,monthly,card,fiber,3,True,True,True,False,30,0,,50.72777777777778,38.24666666666667,57.76,0,0,1,438.9527777777778,86.62885301204794,551.76,423.13,0,1.1127777777777779,0,0.3378347183748845,0.3039964077233947
RT-000062,mobile,North-Caucasus,0.782,22,annual,card,n/a,4,True,True,True,False,70,0,,49.56111111111111,54.43666666666667,51.9,4,0,7,470.0494444444444,82.08794620063232,502.39,584.64,0,1.3764705882352941,2,0.0,-0.14068486590038315
RT-000063,broadband,Volga,0.383,17,two_year,auto,copper,3,True,True,False,False,220,0,,60.76222222222222,75.17333333333333,67.93333333333334,1,0,3,394.39444444444445,82.43878593322314,371.94,451.56,1,2.23,1,0.0,-0.1763220834440606
RT-000064,broadband,Siberia,0.174,22,two_year,auto,fiber,3,True,True,False,False,70,0,,42.89222222222222,50.14666666666667,46.080000000000005,1,0,3,489.6188888888889,90.11734010127078,493.98,653.94,0,2.11,0,0.0,-0.24460959721075332
RT-000065,broadband,North-West,0.839,21,monthly,invoice,fiber,4,False,True,False,False,30,0,,29.723333333333333,27.74333333333333,23.016666666666666,2,0,3,281.4322222222222,62.015598849431385,365.69,268.88,0,1.9700000000000002,1,0.0,0.3600490925319845
RT-000066,broadband,Siberia,0.582,48,monthly,card,xdsl,2,False,True,False,False,30,0,,47.81944444444444,52.14666666666667,32.98666666666667,1,0,2,370.2522222222222,90.53282560717025,369.0,548.62,0,1.615,1,0.0,-0.3274033028325617
RT-000067,broadband,North-Caucasus,0.409,19,monthly,card,xdsl,1,False,True,False,False,30,1,19.0,68.32055555555556,51.300000000000004,72.18666666666667,1,0,3,494.7583333333333,115.08189852295216,479.22,264.72,0,1.890625,4,0.28934244551163646,0.8102901178603807
RT-000068,mobile,Volga,0.317,50,annual,invoice,n/a,1,True,False,False,False,325,0,,64.64555555555556,56.49666666666667,53.38999999999999,0,0,2,521.8733333333333,122.21589494198614,418.68,485.48,1,1.4166666666666667,0,0.0,-0.1375957814946033
RT-000069,mobile,Central,0.418,35,monthly,card,n/a,4,True,True,False,True,30,1,24.0,32.05888888888889,18.586666666666666,30.103333333333335,2,0,7,358.34166666666664,75.10743742055345,441.31,339.35,1,1.6113333333333333,3,0.38257114383789176,0.30045675556210394
RT-000070,mobile,Moscow,0.634,43,monthly,card,n/a,4,True,True,True,False,30,0,,58.16166666666667,74.0,40.63333333333333,0,0,3,580.5877777777778,151.00246147411582,548.94,670.01,0,1.8611764705882352,3,0.0,-0.18069879554036497
RT-000071,mobile,North-Caucasus,0.707,30,two_year,invoice,n/a,2,True,True,False,False,560,0,,71.46166666666666,135.17666666666665,34.913333333333334,1,0,2,562.213888888889,131.5455941596314,599.99,691.19,0,2.3970588235294117,1,0.0,-0.13194635339052943
RT-000072,mobile,North-Caucasus,0.837,19,two_year,invoice,n/a,3,True,False,True,False,160,0,,58.412777777777784,46.78666666666667,37.836666666666666,0,0,0,486.12222222222226,153.69997495332782,466.65,504.66,1,1.4241176470588235,6,0.0,-0.07531803590536211
RT-000073,iptv,Urals,0.301,27,monthly,card,n/a,1,False,False,True,False,30,1,24.0,37.246111111111105,53.50666666666666,27.163333333333338,0,0,1,338.9888888888889,91.30211954816234,432.32,279.98,1,2.805625,2,0.0,0.5441102935923994
RT-000074,mobile,Moscow,0.648,8,annual,auto,n/a,1,True,False,False,False,125,0,,56.416666666666664,36.81,33.38999999999999,0,0,0,529.5061111111112,132.54390269948468,679.24,716.8,0,1.304375,2,0.0,-0.052399553571428496
RT-000075,mobile,Far-East,0.139,19,monthly,card,n/a,2,True,False,False,False,30,1,24.0,32.72666666666667,23.996666666666666,29.860000000000003,2,1,2,399.15333333333336,110.25741549024373,301.96,350.34,0,1.468888888888889,2,0.19636079482027247,-0.1380944225609408
RT-000076,mobile,Volga,0.474,21,two_year,card,n/a,4,True,False,False,True,100,0,,37.32611111111111,33.49,47.163333333333334,1,0,4,412.64000000000004,120.01152351532993,592.73,519.53,1,2.618,0,0.28991448158880484,0.14089657960079313
RT-000077,mobile,Central,0.577,52,monthly,card,n/a,1,True,False,False,False,30,0,,35.93055555555556,41.02333333333333,24.046666666666667,1,0,3,305.2555555555556,51.31346013327959,196.36,346.13,0,2.8594444444444442,3,0.0,-0.43269869702135033
RT-000078,broadband,North-West,0.347,23,two_year,auto,fiber,3,True,True,True,False,40,0,,38.73888888888889,26.573333333333334,39.833333333333336,1,0,1,404.23833333333334,75.4940008719041,285.71,462.36,0,2.8783333333333334,2,0.33288702928870295,-0.3820615970239641
RT-000079,broadband,North-Caucasus,0.996,45,two_year,auto,fiber,4,False,True,True,True,110,0,,34.785555555555554,37.836666666666666,36.82,1,0,2,397.98055555555555,105.21135151640482,296.44,218.26,0,1.4411764705882353,2,0.0,0.35819664620177777
RT-000080,broadband,Siberia,0.126,58,annual,auto,fiber,3,True,True,False,False,85,0,,77.14666666666668,129.47,50.086666666666666,0,0,3,463.1966666666666,113.70358507462959,521.1,527.73,1,1.3846666666666667,0,0.0,-0.012563242567221865
RT-000081,broadband,Southern,0.325,35,annual,card,xdsl,4,False,True,False,False,45,0,,59.17722222222223,59.723333333333336,57.32333333333333,1,0,2,665.3383333333334,158.204401152805,411.67,746.6,0,1.400625,3,0.0,-0.4486070184837932
RT-000082,mobile,Siberia,0.599,32,monthly,card,n/a,4,True,False,True,True,30,0,,56.02111111111111,49.056666666666665,64.54333333333334,1,0,2,523.9016666666666,115.19626603681013,300.34,602.42,2,1.392777777777778,2,0.23994215772349334,-0.5
RT-000083,iptv,Far-East,0.667,18,annual,card,n/a,3,False,True,True,False,190,0,,53.46333333333334,47.07,50.699999999999996,3,0,6,381.0161111111111,71.02126849123842,398.16,378.98,0,2.36375,2,0.07159763313609459,0.050609530845954945
RT-000084,mobile,Urals,0.121,29,monthly,card,n/a,3,True,False,True,False,30,0,,58.45611111111111,75.37,62.17666666666667,0,0,0,566.455,120.54411139154197,390.12,637.99,0,1.7116666666666667,3,0.0,-0.38851706139594666
RT-000085,mobile,North-West,0.498,63,annual,auto,n/a,3,True,False,True,False,300,0,,52.16555555555556,39.10333333333333,50.95333333333334,2,1,6,555.085,139.38469948312118,422.6,298.85,0,1.9988235294117644,2,0.23256574643464623,0.4140873347833361
RT-000086,mobile,Moscow,0.674,15,monthly,card,n/a,2,True,True,False,False,30,0,,33.406666666666666,38.38,27.343333333333334,1,0,6,398.54,72.15722612706881,359.49,535.36,1,1.4329411764705882,1,0.0,-0.3285079199043634
RT-000087,broadband,Saint-Petersburg,0.639,41,annual,invoice,copper,4,False,True,True,True,230,0,,53.537777777777784,26.22,95.12,0,0,1,381.94,108.16722636188621,386.85,459.8,1,1.4238888888888888,2,0.7243481917577796,-0.1586559373640713
RT-000088,mobile,Central,0.378,15,two_year,card,n/a,2,True,False,False,False,280,0,,68.31055555555555,66.43333333333334,81.31666666666666,0,0,5,628.3177777777778,150.34464084251675,817.96,527.55,0,1.565625,1,0.1830293092846894,0.550488105392854
RT-000089,mobile,Siberia,0.72,51,annual,auto,n/a,4,True,True,False,False,295,0,,33.98388888888889,25.333333333333332,42.48666666666667,2,0,3,368.37388888888887,87.46025518444422,494.92,392.03,0,1.8368749999999998,1,0.4037345049427272,0.26245440399969405
RT-000090,mobile,Moscow,0.932,19,monthly,card,n/a,1,True,False,False,False,30,1,24.0,54.795,33.059999999999995,36.32333333333333,0,0,0,507.21722222222223,109.3050933534505,477.36,687.68,0,2.208235294117647,1,0.08984124070845192,-0.30583992554676587
RT-000091,mobile,Saint-Petersburg,0.731,39,monthly,card,n/a,1,True,False,False,False,30,0,,49.99444444444444,55.82666666666666,35.31666666666667,1,0,5,484.53000000000003,106.89465732535882,483.12,514.0,0,2.065882352941177,0,0.0,-0.060077821011673145
RT-000092,broadband,North-Caucasus,0.4,26,monthly,auto,fiber,2,False,True,False,False,30,0,,26.561666666666667,23.356666666666666,26.416666666666668,1,0,3,252.85722222222225,60.332441844242375,202.36,142.72,1,2.1129411764705885,2,0.1158359621451105,0.4178811659192826
RT-000093,mobile,Volga,0.978,13,two_year,card,n/a,2,True,False,False,False,340,0,,41.142222222222216,33.68,44.10666666666666,1,0,3,462.5777777777778,61.22687391079906,564.55,476.48,1,2.520625,3,0.23639661426844008,0.18483462055070504
RT-000094,mobile,Saint-Petersburg,0.214,35,two_year,card,n/a,2,True,True,False,False,410,0,,50.87444444444444,38.22,60.199999999999996,0,0,3,545.2683333333333,170.11897885787778,641.7,502.87,0,2.05,5,0.3651162790697674,0.27607532761946435
RT-000095,mobile,Far-East,0.742,41,monthly,invoice,n/a,2,True,True,False,False,30,0,,44.27,41.50333333333333,38.92333333333334,2,0,3,439.7211111111111,74.96414632333865,377.12,339.56,0,2.0100000000000002,4,0.0,0.11061373542231123
RT-000096,broadband,North-Caucasus,0.199,29,monthly,auto,xdsl,2,False,True,False,False,30,1,22.0,49.13388888888889,44.596666666666664,46.23,1,0,2,431.1583333333333,107.02457624577745,549.89,414.2,1,1.8276470588235294,3,0.03533059340976277,0.32759536455818444
RT-000097,mobile,Southern,0.197,14,annual,invoice,n/a,4,True,True,True,False,310,0,,40.87388888888889,33.596666666666664,44.22,1,0,1,383.02555555555557,103.60570511330998,348.71,368.96,0,2.067647058823529,2,0.24023820292477013,-0.054883998265394626
RT-000098,mobile,Saint-Petersburg,0.484,17,monthly,auto,n/a,4,True,False,False,True,30,0,,33.34111111111111,19.903333333333332,40.17333333333334,2,0,4,374.66333333333336,85.38541044960235,430.12,341.85,3,1.3755555555555556,1,0.5045635579156987,0.25821266637414064
RT-000099,mobile,Urals,0.396,12,monthly,auto,n/a,4,True,False,False,False,30,0,,63.01833333333333,85.29,59.27333333333333,1,0,1,493.61722222222227,90.37067469467756,474.41,662.26,0,1.206875,3,0.0,-0.2836499260109322
RT-000100,fixed_voice,Far-East,0.354,13,annual,auto,fiber,1,False,False,False,False,340,0,,57.775555555555556,49.28333333333334,57.19333333333333,0,0,2,277.2316666666667,55.07122674052106,301.42,257.66,1,1.9811764705882353,1,0.13830283249795997,0.16983621827214154
RT-000101,iptv,North-Caucasus,0.697,13,monthly,auto,n/a,1,False,False,True,False,30,1,21.0,77.385,92.35000000000001,74.24333333333333,2,1,3,357.475,60.20902905222576,269.34,398.48,0,1.6670588235294117,4,0.0,-0.3240815097370007
RT-000102,broadband,Southern,0.404,45,monthly,auto,fiber,3,False,True,False,False,30,0,,34.99388888888889,28.593333333333334,34.12,0,0,2,401.6683333333333,91.60562750822936,464.64,491.76,0,1.932,3,0.16197733489644384,-0.05514885309907273
RT-000103,mobile,North-Caucasus,0.762,53,monthly,invoice,n/a,3,True,False,False,False,30,0,,52.617777777777775,48.60333333333333,61.04333333333333,0,0,2,533.9177777777778,113.93467000902474,568.68,475.89,0,1.478888888888889,1,0.20378965762026974,0.19498203366324143
RT-000104,fixed_voice,Far-East,0.669,35,monthly,auto,fiber,2,False,False,False,False,30,0,,27.986666666666665,15.013333333333335,31.526666666666667,3,1,4,135.80777777777777,43.68088807483813,114.17,86.59,0,1.6244444444444446,2,0.523789384647917,0.3185125303152789
RT-000105,broadband,Saint-Petersburg,0.11,10,annual,card,fiber,2,False,True,False,False,65,0,,53.715555555555554,26.61666666666667,81.27,1,0,3,505.24222222222227,92.63032698379179,576.45,484.7,1,1.5425,3,0.6724908740412615,0.18929234578089552
RT-000106,broadband,Urals,0.274,14,annual,auto,fiber,2,False,True,False,False,310,0,,39.19222222222223,43.61333333333334,34.68,1,0,3,419.48833333333334,78.83029607588547,362.71,444.64,0,1.7706250000000001,1,0.0,-0.1842614249730119
RT-000107,mobile,Urals,0.546,3,two_year,invoice,n/a,1,True,False,False,False,640,0,,35.29888888888889,34.35333333333333,35.57,1,0,4,468.07444444444445,81.9743297855545,445.91,594.5,0,1.2429411764705884,3,0.034204854277949635,-0.24994112699747684
